EDO concept,EDO label,EDO IRI,Mapping relation,External concept,External label,External IRI,External type,Alignment status,Confidence,Review status,Source standard,Rationale,Review note
edo:AsBuiltRole,As-built role,https://w3id.org/energy-domain/edo#AsBuiltRole,relatedMatch,edo-cfihos:LifecycleInformation,CFIHOS lifecycle information,https://w3id.org/energy-domain/edo/alignments/cfihos#LifecycleInformation,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:HighConfidence,edo-align:UnderReview,CFIHOS / IOGP,AsBuiltRole marks as-built information relevant to handover and operation.,
edo:Asset,Asset,https://w3id.org/energy-domain/edo#Asset,relatedMatch,edo-cfihos:EquipmentClass,CFIHOS equipment class,https://w3id.org/energy-domain/edo/alignments/cfihos#EquipmentClass,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,"Asset is related to CFIHOS tag and equipment classification, but exact mapping depends on whether the EDO class is used as a functional asset, physical asset, system or equipment concept.",
edo:Asset,Asset,https://w3id.org/energy-domain/edo#Asset,relatedMatch,edo-cfihos:TagClass,CFIHOS tag class,https://w3id.org/energy-domain/edo/alignments/cfihos#TagClass,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,"Asset is related to CFIHOS tag and equipment classification, but exact mapping depends on whether the EDO class is used as a functional asset, physical asset, system or equipment concept.",
edo:CertifiedRole,Certified role,https://w3id.org/energy-domain/edo#CertifiedRole,relatedMatch,edo-cfihos:LifecycleInformation,CFIHOS lifecycle information,https://w3id.org/energy-domain/edo/alignments/cfihos#LifecycleInformation,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,CertifiedRole marks certified values that can support traceability and acceptance in handover information.,
edo:DesignRole,Design role,https://w3id.org/energy-domain/edo#DesignRole,relatedMatch,edo-cfihos:LifecycleInformation,CFIHOS lifecycle information,https://w3id.org/energy-domain/edo/alignments/cfihos#LifecycleInformation,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,DesignRole marks design-stage information relevant to handover and lifecycle data management.,
edo:DomainAttribute,Domain Attribute,https://w3id.org/energy-domain/edo#DomainAttribute,closeMatch,edo-cfihos:Property,CFIHOS Property,https://w3id.org/energy-domain/edo/alignments/cfihos#Property,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:HighConfidence,edo-align:UnderReview,CFIHOS / IOGP,DomainAttribute is the EDO operational concept closest to a CFIHOS property: it represents a named information requirement or property that can be used in data dictionaries and data contracts.,
edo:DomainElement,Domain Element,https://w3id.org/energy-domain/edo#DomainElement,relatedMatch,edo-cfihos:EquipmentClass,CFIHOS equipment class,https://w3id.org/energy-domain/edo/alignments/cfihos#EquipmentClass,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,"DomainElement is broader than CFIHOS tag or equipment classes. It represents EDO concepts that make up projects or assets and can participate in information deliveries, including physical, functional and informational elements.",
edo:DomainElement,Domain Element,https://w3id.org/energy-domain/edo#DomainElement,relatedMatch,edo-cfihos:TagClass,CFIHOS tag class,https://w3id.org/energy-domain/edo/alignments/cfihos#TagClass,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,"DomainElement is broader than CFIHOS tag or equipment classes. It represents EDO concepts that make up projects or assets and can participate in information deliveries, including physical, functional and informational elements.",
edo:FunctionalAttribute,Functional Attribute,https://w3id.org/energy-domain/edo#FunctionalAttribute,relatedMatch,edo-cfihos:Property,CFIHOS Property,https://w3id.org/energy-domain/edo/alignments/cfihos#Property,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,FunctionalAttribute represents functional characteristics or capabilities that may appear as handover properties.,
edo:IdentificationAttribute,Identification Attribute,https://w3id.org/energy-domain/edo#IdentificationAttribute,relatedMatch,edo-cfihos:Property,CFIHOS Property,https://w3id.org/energy-domain/edo/alignments/cfihos#Property,CFIHOS local reference,edo-align:ProposedAlignment,edo-align:MediumConfidence,edo-align:UnderReview,CFIHOS / IOGP,IdentificationAttribute represents identifiers and naming-related properties used in information handover.,
